id,lat,long,year,status,status_description,elevation,slope_deg,bio1_temp_mean_annual,bio4_seasonality_temp,bio5_temp_max_warm,bio6_temp_min_cold,bio12_precip_annual,bio15_seasonality_precip,months_with_snow,winter_precip,estim_snow,months_above_25,max_temperature,summer_max_temperature,winter_max_temperature,min_temperature,summer_min_temperature,winter_min_temperature,Worst_drought,Worst_drought_YearBefore,AnnualMean_PDSI,AnnualMean_YearBefore_PDSI,summerMean_PDSI,summerMean_YearBefore_PDSI,months_with_drought,months_with_drought_YearBefore,winterMean_PDSI,winterMean_YearBefore_PDSI,Max_snow,Max_snow_YearBefore,AnnualMean_swe,AnnualMean_YearBefore_swe,coldSeasonMean_swe,coldSeasonMean_YearBefore_swe,months_with_snow_YearBefore,springMean_swe,springMean_YearBefore_swe
4 (near A1b),40.0031,-120.17453,2019.0,0.0,long absence,2150.0592,6.65,7.051166534423828,708.7528076171875,27.847999572753903,-7.507999897003174,489.0,56.275840759277344,4.0,203.0,203.0,2.0,29.0,29.0,5.299999999999997,-8.5,5.900000000000006,-8.5,-1.5300000000000011,-2.1899999999999977,1.6191666666666673,-0.3399999999999992,2.0033333333333325,0.4966666666666673,0.0,1.0,-0.0466666666666668,-1.8300000000000007,315.20000000000005,118.10000000000001,60.27500000000001,14.358333333333336,120.55000000000003,28.500000000000004,3.0,84.03333333333335,39.800000000000004
BLUE,48.27719625,-116.8272141,2016.0,0.0,long absence,678.0,0.0,6.724999904632568,809.1503295898438,27.20800018310547,-7.323999881744385,800.0,41.13065719604492,3.0,290.0,290.0,2.0,28.200000000000003,28.200000000000003,6.5,-9.0,8.100000000000009,-9.0,-4.43,-5.240000000000002,-2.8849999999999985,-3.755833333333334,-4.243333333333332,-4.973333333333334,9.0,9.0,-1.6833333333333325,-2.4800000000000018,272.40000000000003,232.8,31.966666666666672,39.24166666666667,63.933333333333344,78.48333333333333,4.0,0.20000000000000004,0.0
DAMT,48.50680651,-114.9810138,2016.0,0.0,long absence,1514.0,13.52,3.884999990463257,810.1452026367188,24.76000022888184,-11.600000381469728,641.0,25.27545928955078,4.0,195.0,314.0,1.0,25.60000000000001,25.60000000000001,4.799999999999997,-13.5,4.200000000000003,-13.5,-3.649999999999999,-4.649999999999999,-2.382499999999999,-3.109166666666665,-3.2333333333333343,-4.363333333333332,9.0,9.0,-1.6766666666666648,-1.7099999999999984,215.10000000000002,225.4,45.86666666666667,56.09166666666667,91.73333333333333,112.18333333333334,4.0,20.0,2.466666666666667
EGMT_17_OHP1,39.43929599,-120.536311,2019.0,1.0,recent absence,2296.9730734056,13.22,5.570000171661377,671.29736328125,24.88400077819824,-7.664000034332275,1205.0,75.33768463134766,5.0,579.0,748.0,1.0,26.10000000000001,26.10000000000001,5.0,-9.399999999999991,5.0,-9.399999999999991,-1.990000000000002,-2.449999999999996,1.4900000000000002,-0.4808333333333318,2.536666666666666,-0.2233333333333315,0.0,3.0,-0.4899999999999996,-0.8099999999999975,938.1,412.6,191.15,56.44166666666666,379.4333333333334,109.73333333333335,5.0,318.43333333333334,143.83333333333334
ENGMTN1_17_UOT,39.461561,-120.55121,2019.0,0.0,long absence,2083.3000666656,4.76,6.207499980926514,651.5548095703125,25.35599899291992,-6.760000228881836,1232.0,76.07561492919922,4.0,593.0,593.0,1.0,26.60000000000001,26.60000000000001,6.1000000000000085,-8.700000000000003,5.400000000000006,-8.700000000000003,-2.019999999999996,-2.43,1.6875000000000018,-0.4808333333333336,2.603333333333334,-0.2266666666666665,1.0,3.0,0.1533333333333336,-0.826666666666668,733.8000000000001,351.40000000000003,143.86666666666667,39.96666666666667,286.06666666666666,78.48333333333333,4.0,247.93333333333337,120.03333333333335
ENGMT_17_BPEL1,39.45391,-120.54979,2019.0,1.0,recent absence,2300.0000736,25.06,5.871333599090576,670.7178344726562,25.23200035095215,-7.263999938964844,1274.0,76.08978271484375,5.0,612.0,612.0,1.0,26.40000000000001,26.40000000000001,5.5,-9.099999999999994,5.200000000000003,-9.099999999999994,-2.030000000000001,-2.4399999999999977,1.4550000000000012,-0.5108333333333318,2.523333333333336,-0.2899999999999967,1.0,3.0,-0.5666666666666677,-0.7833333333333314,907.6,402.90000000000003,181.60833333333335,50.625,360.8333333333333,98.75,5.0,307.3,139.3
ENGMT_17_PEL2,39.45749,-120.54898,2019.0,1.0,recent absence,2261.000072352,6.03,5.871333599090576,670.7178344726562,25.23200035095215,-7.263999938964844,1274.0,76.08978271484375,5.0,612.0,612.0,1.0,26.40000000000001,26.40000000000001,5.5,-9.099999999999994,5.200000000000003,-9.099999999999994,-2.030000000000001,-2.4399999999999977,1.4550000000000012,-0.5108333333333318,2.523333333333336,-0.2899999999999967,1.0,3.0,-0.5666666666666677,-0.7833333333333314,907.6,402.90000000000003,181.60833333333335,50.625,360.8333333333333,98.75,5.0,307.3,139.3
English Mountain (SW's pt 9),39.46315,-120.5524,2019.0,1.0,recent absence,2043.684,10.65,6.207499980926514,651.5548095703125,25.35599899291992,-6.760000228881836,1232.0,76.07561492919922,4.0,593.0,593.0,1.0,26.60000000000001,26.60000000000001,6.1000000000000085,-8.700000000000003,5.400000000000006,-8.700000000000003,-2.019999999999996,-2.43,1.6875000000000018,-0.4808333333333336,2.603333333333334,-0.2266666666666665,1.0,3.0,0.1533333333333336,-0.826666666666668,733.8000000000001,351.40000000000003,143.86666666666667,39.96666666666667,286.06666666666666,78.48333333333333,4.0,247.93333333333337,120.03333333333335
FTKL,42.70470535,-121.9947138,2016.0,0.0,long absence,1276.0,1.31,6.871166706085205,708.409423828125,27.81599998474121,-8.343999862670898,631.0,65.4493637084961,3.0,273.0,273.0,2.0,30.40000000000001,30.40000000000001,8.400000000000006,-9.099999999999994,5.1000000000000085,-9.099999999999994,-3.199999999999996,-4.93,-2.258333333333333,-3.8425,-2.943333333333333,-4.263333333333333,9.0,12.0,-1.956666666666668,-3.0033333333333325,335.70000000000005,214.70000000000002,44.85,26.483333333333334,89.7,52.96666666666667,3.0,0.5666666666666668,0.0
Grey 10 (Sierra Buttes),39.6004,-120.6392,2019.0,0.0,long absence,2096.1096,36.71,5.9720001220703125,653.7310791015625,25.083999633789062,-6.763999938964844,1216.0,74.21369934082031,5.0,574.0,574.0,1.0,26.200000000000003,26.200000000000003,5.700000000000003,-8.700000000000003,5.200000000000003,-8.700000000000003,-2.0700000000000003,-2.449999999999996,1.4058333333333348,-0.5624999999999994,2.343333333333336,-0.3266666666666656,1.0,3.0,-0.5599999999999999,-0.9133333333333316,806.4000000000001,360.5,153.97500000000002,42.775,305.7333333333334,83.18333333333334,5.0,273.2333333333334,124.89999999999999
